teacherId,firstName,middleName,lastName,birthdate,personalNumber,subjectId
1,Joyce,Greer,Wood,1985-11-03,65618,39
2,Armando,Rose,Harrington,1994-07-11,87201,32
3,Rick,Hendricks,Barton,1961-01-15,44712,29
4,Chadwick,Acosta,Sweeney,1997-04-16,92796,10
5,Joan,Baker,Robles,2004-09-19,40117,27
6,Clifford,Underwood,Adkins,1968-07-17,77958,10
7,Joe,Ibarra,Gonzales,1983-09-22,49917,47
8,Ted,Peck,Beck,1996-11-18,15127,42
9,Don,Lyons,Patton,1985-05-01,84106,24
10,Jasmine,Callahan,Ferrell,1972-07-20,72998,15
11,Neil,Lynch,Riddle,1992-02-12,05333,15
12,Keri,Gaines,Li,1969-06-26,18513,20
13,Everett,Lam,Rodgers,1957-07-01,94640,12
14,Kimberly,Huerta,Moody,2007-12-10,47851,20
15,Natalie,Wilson,Lester,1975-07-04,35588,24
16,Jocelyn,Horton,Mc Neil,1985-03-02,69218,23
17,Ricardo,Navarro,Crosby,1965-08-24,85685,21
18,Marvin,Lamb,Wells,1994-04-26,31932,24
19,Yolanda,Collins,Gray,1958-10-29,45671,30
20,Betty,Watson,Casey,1999-10-05,46157,19
21,Allen,Tate,Larsen,1991-10-10,43327,32
22,Margarita,Vance,Whitney,1962-10-18,28475,26
23,Liza,Woodard,Mullen,1954-11-29,51866,24
24,Randolph,Ramos,Harrington,1997-08-11,45736,23
25,Edith,Campbell,Burns,1966-02-24,75913,25
26,Kara,Cardenas,Patel,1997-11-06,55883,9
27,Dustin,Torres,Compton,1995-04-18,37003,8
28,Terence,Mc Connell,Webster,1955-01-21,76644,25
29,Lewis,Wagner,Hodges,1991-09-27,47845,10
30,Carl,Harding,Grimes,1976-10-02,48736,40
31,Sylvia,Hunter,Ochoa,2002-01-20,74766,45
32,Gabriel,Zimmerman,Heath,2001-04-25,65263,42
33,Abigail,Lowery,Hunter,1983-07-18,38490,19
34,Clarence,Diaz,Butler,1959-10-02,78789,24
35,Anna,Kline,Mitchell,1974-08-11,17645,7
36,Howard,Chavez,Holmes,1964-04-12,34331,29
37,Marcie,Reed,Ponce,1992-09-15,24679,23
38,Larry,Yu,Guerra,1965-12-19,83584,31
39,Evan,Sosa,Perez,1963-12-30,12835,37
40,Bill,Mercado,Mendez,1997-08-04,99073,44
41,Trina,Nielsen,Hoover,1969-06-28,24397,14
42,Teddy,Vargas,Lang,1995-09-24,93329,39
43,Gena,Hoover,Jordan,1990-03-24,97295,16
44,Chrystal,Reilly,Coffey,1953-04-26,66423,15
45,Bryce,Estrada,Landry,1972-06-18,70089,47
46,Albert,Johnston,Ross,2006-04-20,74671,38
47,Myron,Terry,Clay,1953-12-27,48530,35
48,Ben,Gentry,Ellison,1995-05-31,71644,42
49,Karl,Larsen,Henson,1995-03-24,79121,33
50,Clifton,Nicholson,Andrade,1996-12-03,10193,17
51,Brandy,Ayala,Huff,1990-06-12,77387,43
52,Stephan,Knox,Nichols,1987-05-20,17049,39
53,Whitney,Day,Key,1992-11-18,22106,12
54,Dora,Horn,Donovan,1953-01-21,40766,14
