studentId,firstName,middleName,lastName,birthdate,personalNumber,classId
1,Lydia,Gilmore,Kelley,1991-11-10,3376299241,29
2,Julia,Arias,James,1973-07-07,0045577462,37
3,Chester,Osborne,Dixon,2000-01-11,3390475302,45
4,Darla,Preston,Faulkner,1958-12-22,4435605493,46
5,Danny,Diaz,Velasquez,2006-09-09,7064348789,19
6,Elton,Cherry,Peck,1989-10-08,3770625923,46
7,Austin,Munoz,Beasley,1960-01-24,2479607082,34
8,Cristina,Atkins,Stevens,1987-04-15,8953060038,4
9,Kendall,Delgado,Francis,1982-02-27,5705377321,31
10,Gavin,Everett,Payne,1983-05-14,7914602633,28
11,Valerie,Johnson,Gaines,1979-02-16,2035189728,35
12,Cary,Cross,Boyd,2004-12-21,6715608354,27
13,Lisa,Moses,Mckenzie,1965-10-07,8181189721,39
14,Joe,Bartlett,Sims,1995-08-11,8728082200,27
15,Vicki,Jacobson,Stevenson,1958-04-05,7274213194,5
16,Eric,Mays,Hines,1956-02-12,4570151799,32
17,Elias,Carter,Mueller,2001-10-11,7970623143,30
18,Sophia,Yu,Lloyd,1959-03-26,2696293924,5
19,Allison,Rasmussen,Cantrell,2005-01-05,5902211679,42
20,Michele,Kirk,Ritter,1972-08-16,5455799641,50
21,Betsy,Chen,Rojas,1981-12-20,4980738928,37
22,Joey,Taylor,Mccoy,1980-09-14,6033527537,2
23,Mike,Patrick,Preston,1999-10-28,9370573117,5
24,Tracey,Bray,May,1987-02-17,5095342882,32
25,Angelina,Ritter,Gomez,1962-02-07,6034961626,16
26,Thomas,Wilkerson,Shelton,2005-08-24,9162240736,12
27,Tammie,Mckay,Valenzuela,1984-05-29,0392876022,49
28,Dorothy,Baldwin,Cooley,1986-02-04,2628852570,16
29,Abigail,Hancock,Cordova,1962-10-16,1724615141,46
30,Ronald,Calhoun,Conley,1973-03-13,5555039548,44
31,Earl,Nelson,Adkins,1995-10-13,4696400304,38
32,Jeffrey,Warren,Gill,1991-02-06,6110824686,4
33,Yolanda,Wolf,Bautista,1965-09-05,3859932473,35
34,Monica,Morris,Reyes,1958-10-26,6528766458,5
35,Julie,Jackson,Ball,1992-05-21,4666860378,14
36,Gregg,Cowan,Walker,1956-11-21,6411838863,45
37,Alexander,Swanson,Armstrong,1954-10-23,1203058972,32
38,Rusty,Craig,Shea,1989-12-04,6432992569,1
39,Brenda,Buckley,Bird,1959-04-10,6417662814,3
40,Jerrod,Simon,Odom,1981-08-02,6976347221,33
41,Jerome,Manning,Moreno,2004-07-31,4718360729,21
42,Lana,Sexton,Clark,1969-08-13,1906861666,20
43,Garry,Novak,Hartman,1955-04-28,2736471833,25
44,Paul,Tucker,Weber,1973-02-15,0273069236,28
45,Virginia,Camacho,Hunt,1990-09-03,5750302344,34
46,Shawn,Stuart,Dorsey,1988-05-17,5153063396,9
47,Leo,Ryan,Hess,2000-03-10,1055503070,13
48,Robin,Heath,Delacruz,1988-07-02,6352064786,4
49,Rafael,Maxwell,Decker,1988-11-23,0478181032,7
50,Simon,Stokes,Wiggins,1995-08-03,6717210139,22
51,Jamal,Serrano,Gilmore,1995-10-12,6000954218,10
52,Bryon,Patel,Boyer,1957-01-12,4252039018,20
53,Keith,Mc Clure,Harmon,1959-12-06,0213950421,6
54,Mathew,Rocha,Mercer,1961-05-11,7795162551,47
55,Neil,Prince,Booker,1958-07-30,2113886161,38
56,Julius,Golden,Madden,1964-02-26,7298360212,30
57,Lucas,Schneider,Yang,1981-09-10,6738870091,43
58,Annette,Underwood,O'Connell,1965-11-25,2339122875,29
59,Bryan,Winters,Dougherty,2004-11-13,7372488082,2
60,Marlon,Manning,Riley,1954-01-16,9430322905,42
61,Wayne,Kelly,Hughes,1958-05-13,5124068997,39
62,Carlton,Moyer,Huang,1981-12-20,3680332006,19
63,Stephanie,Murillo,Lawrence,1977-07-01,0518431380,24
64,Kenya,Montoya,Bean,1961-12-17,5568319414,24
65,Jessie,House,Howe,1995-08-01,3512223980,44
66,Roman,Vaughan,Leonard,1996-01-10,2735742912,43
67,Danielle,Archer,Horton,1992-04-17,4155063020,40
68,Lydia,Mayer,Patton,1959-12-13,4612130637,14
69,Tabatha,Berger,Sheppard,1956-03-22,7034926530,43
70,Wayne,Winters,Cortez,1954-05-16,4941291371,19
71,Jerome,Hines,George,1954-04-23,5815082580,5
72,Tia,Gaines,Tyler,1964-11-07,8282701795,47
73,Stephen,Coleman,Calderon,2007-12-17,1682053748,14
74,Clarence,Roman,Branch,1976-06-05,1475234422,20
75,Alfredo,Daniels,Walls,1976-01-16,0033935403,37
76,Russell,Cochran,Le,1965-05-09,5920753390,25
77,Margarita,West,Velazquez,1978-05-21,4721725929,29
78,Tonia,Cummings,Gill,1979-09-12,6917210751,20
79,Lana,Keller,Wallace,2004-06-16,4479014481,11
80,Marsha,Sanders,Powers,1981-09-23,0920349601,34
81,Guy,Lloyd,Michael,1958-06-17,0409824060,38
82,Alan,Lynch,Cruz,2003-11-27,0683946432,27
83,Ivan,Maddox,Wolf,2005-03-13,1198483502,46
84,Olga,Cole,Welch,1975-03-16,5771562806,13
85,Randal,Riley,Montes,1985-06-01,1450010915,42
86,Spencer,Haley,Arias,1991-10-01,4032451440,27
87,Keri,Lloyd,Hall,1984-03-03,9086762434,43
88,Enrique,Preston,Mccarty,1957-04-27,4311229226,37
89,Philip,Mckinney,Weaver,1953-03-30,2226237051,9
90,Justin,Le,Hammond,1981-03-27,9123767299,45
91,Tammi,Valenzuela,Delacruz,1983-03-13,3165608178,49
92,Joy,Dodson,Sutton,1996-11-27,7510814237,35
93,Monica,York,Stone,1993-01-20,0411758674,12
94,Damian,Le,Kent,1958-03-25,4934845180,42
95,Shanna,Frazier,Chung,1976-03-22,7693581088,13
96,Willie,Hoover,Cobb,1975-08-12,6423468370,35
97,Lindsay,Hardin,Pineda,2000-02-13,1277083227,43
98,Cristina,Bowen,Hancock,2001-05-12,1301573943,22
99,Arturo,Love,Gibbs,1985-07-17,6493724722,38
100,Lamar,Peck,Cisneros,2002-08-24,3483454795,48
101,Levi,Levine,Wolf,2004-01-30,5330117430,39
102,Glenda,Swanson,Stewart,1993-03-29,6764302895,16
